project_id,contributor_count
21426700,30
8335053,30
31760449,28
22100926,30
98184077,17
7741643,30
8504763,30
79809605,28
97838417,30
30891370,23
11719691,30
5573316,30
3377,30
85208940,30
9550252,14
10512714,30
21685135,30
20184382,9
12298212,30
14680607,17
35881514,30
15430259,30
14819160,30
76384,30
24156726,23
10576004,30
1880842,16
6650818,30
56225596,15
28071782,30
70399575,5
15842290,30
27142,30
72365669,30
33456486,30
108329210,24
53626031,30
108003809,30
20210082,18
5380894,30
10483525,30
25583877,30
5524547,30
125544856,30
49956018,18
104869961,30
8809028,30
162679,30
59386,30
52411971,30
11250,30
21475692,20
40972,30
119993936,19
66449423,30
18054793,30
29048292,23
38653486,21
28127161,30
27538274,30
23729174,30
1530881,30
22050458,30
12785236,20
74108727,18
3321949,30
37117929,30
108933530,0
500132,30
58927889,25
28186396,30
15310342,15
61072225,8
5575618,30
28218634,22
96386586,0
11611140,30
77781652,30
264132,30
12551824,30
11455995,30
77077371,30
2661445,30
6445576,30
93185149,30
9891322,30
12662680,27
28858802,30
48883906,30
9510062,30
6664526,30
24017981,0
27272836,8
3331025,30
91448961,14
62238,30
69287454,30
44931891,30
28884786,30
22329411,30
809314,30
22044691,26
11226972,30
54448285,30
29026835,30
58625919,30
41023421,30
29684133,30
114570714,30
99546660,30
48112459,30
2147872,21
11118541,22
27660459,30
4313161,19
4618367,30
13015396,16
6421064,30
18155280,30
74467974,3
66743579,30
74676,30
6842063,30
107972199,30
15796051,30
127702581,30
30928,30
7681718,30
9157775,30
74026845,30
3489330,22
96775,30
5198914,30
55148660,30
27924775,3
29812475,30
65804353,30
7694902,30
61602049,30
129845,30
14131184,30
19117,30
2605913,30
5628671,30
30168919,18
7642324,30
103397208,8
9903395,30
3603199,30
2243502,30
123866616,30
6612349,30
15103467,30
66091759,30
22054258,30
2315573,30
67455498,14
31268569,6
119936417,30
55677397,6
22177766,19
77464912,29
28069,30
2746,30
14897549,30
84102683,30
22031851,30
21556740,30
13352386,28
11689099,0
27552259,8
130531048,2
12652690,30
6132589,11
57276084,11
114679575,7
50512963,30
22063117,30
76848569,23
89341530,30
4428950,27
57864044,7
56397604,14
44760076,30
94027227,28
78239999,30
46442894,27
10450978,0
83235192,30
79367173,30
8956121,30
14593806,30
30599417,30
2682336,13
8937352,30
13133292,19
15985,30
9242588,30
107632272,23
85710626,8
97705955,30
1596675,30
124800533,27
18262312,25
31851528,30
56191676,30
13758369,30
81856321,30
8385646,30
92313417,30
3410497,30
25960485,0
15574482,0
56508940,30
328868,13
32965297,21
8868953,30
84637924,4
83067080,0
49540399,30
15893070,30
32043917,30
50013,30
93420607,0
76048571,30
70890878,30
12245965,30
21300036,30
20028245,30
16306424,27
28775174,6
48839039,30
36614902,30
8581244,5
97800864,30
40551096,30
29799003,30
31990776,30
34618833,30
78959794,30
66107245,29
20891188,30
134514371,3
12150380,30
10996484,30
43700788,30
60805223,30
4567,30
105663933,30
8622446,30
94211,19
35381642,30
18217747,30
28941838,26
20726708,30
43875,30
28931424,18
5297839,30
22173530,30
34805842,30
104657986,30
20668016,2
16754405,30
206020,30
21370890,30
132661391,5
67874,30
52357865,30
17306218,30
13723638,30
89209,30
28811147,30
16778926,30
12713163,0
41485756,30
31743525,12
3756615,30
866,30
30940052,30
11380568,30
28195266,30
133551668,4
29019493,30
29831135,30
811856,30
59592817,30
16827424,30
11721331,30
9433366,30
22055075,30
3300396,30
9238699,30
167022,30
7894,30
25820906,30
680826,30
34492604,11
91723479,30
11591355,30
5768596,30
6421079,30
8555472,30
4765,30
27219072,16
64790728,30
32678553,30
75999305,30
7975648,30
3644,30
68575238,22
31810056,30
11140376,30
19682738,20
83631265,16
80028425,30
31431013,30
3005855,30
59810117,30
39905547,1
17129968,30
45658,30
132050324,4
22059941,30
8496162,30
16282,30
43372017,30
3011956,13
78750114,0
19635408,20
22526700,17
85305147,30
85361552,30
131364946,30
4304225,30
81106782,30
